Date,CLOSE,HIGH,LOW,OPEN
2014-02-24,11593,,,
2014-02-25,12482,,,
2014-02-26,13821,,,
2014-02-27,14969,,,
2014-02-28,15416,,,
2014-03-03,16278,,,
2014-03-04,18102,,,
2014-03-05,20606,,,
2014-03-06,24109,,,
2014-03-07,26230,,,
2014-03-10,26826,,,
2014-03-11,27054,,,
2014-03-12,22322,,,
2014-03-13,22666,,,
2014-03-14,22755,,,
2014-03-17,22870,,,
2014-03-18,24316,,,
2014-03-19,26010,,,
2014-03-20,27315,,,
2014-03-21,26421,,,
2014-03-24,26573,,,
2014-03-25,25901,,,
2014-03-26,23405,,,
2014-03-27,21050,,,
2014-03-28,20407,,,
2014-03-31,20636,,,
2014-04-01,19861,,,
2014-04-02,18979,,,
2014-04-03,18123,,,
2014-04-04,17647,,,
2014-04-07,17416,,,
2014-04-08,14605,,,
2014-04-09,13609,,,
2014-04-10,12769,,,
2014-04-11,12065,,,
2014-04-14,11768,,,
2014-04-15,11377,,,
2014-04-16,10298,,,
2014-04-17,10091,,,
2014-04-22,10371,,,
2014-04-23,10881,,,
2014-04-24,11088,,,
2014-04-25,11077,,,
2014-04-28,10776,,,
2014-04-29,10238,,,
2014-04-30,10166,,,
2014-05-01,11732,,,
2014-05-02,12835,,,
2014-05-06,12933,,,
2014-05-07,12874,,,
2014-05-08,12342,,,
2014-05-09,11912,,,
2014-05-12,11523,,,
2014-05-13,11228,,,
2014-05-14,11745,,,
2014-05-15,12195,,,
2014-05-16,12310,,,
2014-05-19,12097,,,
2014-05-20,11659,,,
2014-05-21,11032,,,
2014-05-22,10574,,,
2014-05-23,10786,,,
2014-05-27,11461,,,
2014-05-28,11095,,,
2014-05-29,10878,,,
2014-05-30,10983,,,
2014-06-02,11220,,,
2014-06-03,11929,,,
2014-06-04,12675,,,
2014-06-05,13685,,,
2014-06-06,14480,,,
2014-06-09,15050,,,
2014-06-10,15489,,,
2014-06-11,14780,,,
2014-06-12,14097,,,
2014-06-13,13518,,,
2014-06-16,13094,,,
2014-06-17,12771,,,
2014-06-18,13393,,,
2014-06-19,14899,,,
2014-06-20,15133,,,
2014-06-23,14569,,,
2014-06-24,14065,,,
