Date,CLOSE,HIGH,LOW,OPEN
1999-03-31,1023,,,
1999-04-30,940,,,
1999-05-31,922,,,
1999-06-30,833,,,
1999-07-31,956,,,
1999-08-31,1191,,,
1999-09-30,1426,,,
1999-10-31,1809,,,
1999-11-30,1854,,,
1999-12-31,1813,,,
2000-01-31,1625,,,
2000-02-29,2118,,,
2000-03-31,2275,,,
2000-04-30,2230,,,
2000-05-31,2014,,,
2000-06-30,2150,,,
2000-07-31,2207,,,
2000-08-31,2216,,,
2000-09-30,2424,,,
2000-10-31,2518,,,
2000-11-30,2464,,,
2000-12-31,2186,,,
2001-01-31,1896,,,
2001-02-28,1985,,,
2001-03-31,1727,,,
2001-04-30,1827,,,
2001-05-31,1749,,,
2001-06-30,1745,,,
2001-07-31,1186,,,
2001-08-31,961,,,
2001-09-30,1102,,,
2001-10-31,970,,,
2001-11-30,981,,,
2001-12-31,980,,,
2002-01-31,1059,,,
2002-02-28,1321,,,
2002-03-31,1396,,,
2002-04-30,1192,,,
2002-05-31,1231,,,
2002-06-30,1156,,,
2002-07-31,1080,,,
2002-08-31,1201,,,
2002-09-30,1793,,,
2002-10-31,1839,,,
2002-11-30,2035,,,
2002-12-31,2380,,,
2003-01-31,2037,,,
2003-02-28,2485,,,
2003-03-31,2609,,,
2003-04-30,2797,,,
2003-05-31,2792,,,
2003-06-30,2772,,,
2003-07-31,2925,,,
2003-08-31,3209,,,
2003-09-30,4386,,,
2003-10-31,6655,,,
2003-11-30,6249,,,
2003-12-31,6911,,,
2004-01-31,7682,,,
2004-02-29,6583,,,
2004-03-31,5693,,,
2004-04-30,4844,,,
2004-05-31,4168,,,
2004-06-30,4190,,,
2004-07-31,5681,,,
2004-08-31,5860,,,
2004-09-30,5225,,,
2004-10-31,6649,,,
2004-11-30,8335,,,
2004-12-31,6054,,,
2005-01-31,6227,,,
2005-02-28,6376,,,
2005-03-31,5937,,,
2005-04-30,5671,,,
2005-05-31,3893,,,
2005-06-30,2987,,,
2005-07-31,2373,,,
2005-08-31,3735,,,
2005-09-30,4190,,,
2005-10-31,4592,,,
2005-11-30,4013,,,
2005-12-31,3071,,,
2006-01-31,2896,,,
2006-02-28,4141,,,
2006-03-31,3410,,,
2006-04-30,3040,,,
2006-05-31,2975,,,
2006-06-30,3645,,,
2006-07-31,4583,,,
2006-08-31,5182,,,
2006-09-30,5120,,,
2006-10-31,5616,,,
2006-11-30,6036,,,
2006-12-31,5972,,,
2007-01-31,6045,,,
2007-02-28,6917,,,
2007-03-31,7810,,,
2007-04-30,9127,,,
2007-05-31,8359,,,
2007-06-30,8643,,,
2007-07-31,8930,,,
2007-08-31,10715,,,
2007-09-30,14002,,,
2007-10-31,14078,,,
2007-11-30,15357,,,
2007-12-31,13603,,,
2008-01-31,8766,,,
2008-02-29,10743,,,
2008-03-31,11993,,,
2008-04-30,14173,,,
2008-05-31,18749,,,
2008-06-30,13978,,,
2008-07-31,13005,,,
2008-08-31,10506,,,
2008-09-30,4318,,,
2008-10-31,1265,,,
2008-11-30,838,,,
2008-12-31,1337,,,
2009-01-31,1981,,,
2009-02-28,2963,,,
2009-03-31,2066,,,
2009-04-30,2348,,,
2009-05-31,6125,,,
2009-06-30,7241,,,
2009-07-31,5385,,,
2009-08-31,3946,,,
2009-09-30,2846,,,
2009-10-31,5047,,,
2009-11-30,6189,,,
2009-12-31,3887,,,
2010-01-31,3494,,,
2010-02-28,3174,,,
2010-03-31,3425,,,
2010-04-30,3936,,,
2010-05-31,5217,,,
2010-06-30,2711,,,
2010-07-31,1922,,,
2010-08-31,3516,,,
2010-09-30,3370,,,
2010-10-31,4262,,,
2010-11-30,2910,,,
2010-12-31,2346,,,
2011-01-31,1351,,,
2011-02-28,1310,,,
2011-03-31,1768,,,
2011-04-30,1564,,,
2011-05-31,1874,,,
2011-06-30,2036,,,
2011-07-31,1749,,,
2011-08-31,2598,,,
2011-09-30,3136,,,
2011-10-31,3132,,,
2011-11-30,3298,,,
2011-12-31,3287,,,
2012-01-31,1447,,,
2012-02-29,1531,,,
2012-03-31,1412,,,
2012-04-30,1496,,,
2012-05-31,1319,,,
2012-06-30,1190,,,
2012-07-31,1194,,,
2012-08-31,1172,,,
2012-09-30,1621,,,
2012-10-31,2419,,,
2012-11-30,2199,,,
2012-12-31,1235,,,
2013-01-31,1468,,,
2013-02-28,1249,,,
2013-03-31,1249,,,
2013-04-30,1273,,,
2013-05-31,1336,,,
2013-06-30,2165,,,
2013-07-31,1881,,,
2013-08-31,2243,,,
2013-09-30,3853,,,
2013-10-31,2245,,,
2013-11-30,3089,,,
2013-12-31,4078,,,
2014-01-31,1524,,,
2014-02-28,2084,,,
2014-03-31,2573,,,
2014-04-30,1600,,,
2014-05-31,1395,,,
2014-06-30,1871,,,
2014-07-31,1195,,,
2014-08-31,2627,,,
2014-09-30,1915,,,
2014-10-31,3552,,,
2014-11-30,2151,,,
2014-12-31,474,,,
2015-01-31,679,,,
2015-02-28,521,,,
2015-03-31,475,,,
2015-04-30,565,,,
2015-05-31,810,,,
2015-06-30,1292,,,
2015-07-31,2209,,,
2015-08-31,1071,,,
2015-09-30,1936,,,
2015-10-31,1229,,,
2015-11-30,1007,,,
2015-12-31,470,,,
2016-01-31,211,,,
2016-02-29,174,,,
2016-03-31,270,,,
2016-04-30,1117,,,
2016-05-31,854,,,
2016-06-30,996,,,
2016-07-31,768,,,
2016-08-31,978,,,
2016-09-30,2008,,,
2016-10-31,1534,,,
2016-11-30,2263,,,
2016-12-31,1385,,,
2017-01-31,1167,,,
2017-02-28,1021,,,
2017-03-31,2597,,,
2017-04-30,1779,,,
2017-05-31,1511,,,
2017-06-30,1086,,,
2017-07-31,1225,,,
2017-08-31,2293,,,
2017-09-30,2738,,,
2017-10-31,3219,,,
2017-11-30,3848,,,
2017-12-31,2830,,,
2018-01-31,1613,,,
2018-02-28,1560,,,
2018-03-31,1010,,,
2018-04-30,2173,,,
2018-05-31,1401,,,
2018-06-30,2170,,,
2018-07-31,3471,,,
2018-08-31,2732,,,
2018-09-30,2000,,,
2018-10-31,2596,,,
2018-11-30,1755,,,
2018-12-31,1905,,,
2019-01-31,1116,,,
2019-02-28,459,,,
2019-03-31,150,,,
2019-04-30,1276,,,
2019-05-31,1620,,,
2019-06-30,2488,,,
2019-07-31,3657,,,
2019-08-31,4467,,,
2019-09-30,3269,,,
2019-10-31,2978,,,
2019-11-30,3131,,,
2019-12-31,1950,,,
2020-01-31,-20,,,
2020-02-29,-328,,,
2020-03-31,204,,,
2020-04-30,895,,,
2020-05-31,46,,,
2020-06-30,4320,,,
2020-07-31,2206,,,
2020-08-31,2218,,,
2020-09-30,3091,,,
2020-10-31,1875,,,
2020-11-30,1522,,,
2020-12-31,2006,,,
2021-01-31,1890,,,
2021-02-28,1439,,,
2021-03-31,2210,,,
2021-04-30,4896,,,
2021-05-31,3089,,,
2021-06-30,3931,,,
2021-07-31,4306,,,
2021-08-31,5919,,,
2021-09-30,8944,,,
2021-10-31,4349,,,
2021-11-30,4483,,,
2021-12-31,2312,,,
2022-01-31,1208,,,
2022-02-28,1617,,,
2022-03-31,1760,,,
2022-04-30,2136,,,
2022-05-31,2668,,,
2022-06-30,2434,,,
2022-07-31,2081,,,
2022-08-31,302,,,
2022-09-30,1955,,,
2022-10-31,1559,,,
2022-11-30,1643,,,
2022-12-31,2261,,,
2023-01-31,532,,,
2023-02-28,729,,,
