Date,CLOSE,HIGH,LOW,OPEN
1999-03-01,1000,,,
1999-03-02,1009,,,
1999-03-03,1014,,,
1999-03-04,1013,,,
1999-03-05,1005,,,
1999-03-08,1006,,,
1999-03-09,1016,,,
1999-03-10,1016,,,
1999-03-11,1020,,,
1999-03-12,1025,,,
1999-03-15,1029,,,
1999-03-16,1032,,,
1999-03-17,1036,,,
1999-03-18,1049,,,
1999-03-19,1055,,,
1999-03-22,1069,,,
1999-03-23,1055,,,
1999-03-24,1053,,,
1999-03-25,1051,,,
1999-03-26,1040,,,
1999-03-29,1035,,,
1999-03-30,1026,,,
1999-03-31,1023,,,
1999-04-01,1012,,,
1999-04-06,1001,,,
1999-04-07,982,,,
1999-04-08,954,,,
1999-04-09,941,,,
1999-04-12,923,,,
1999-04-13,903,,,
1999-04-14,896,,,
1999-04-15,896,,,
1999-04-16,895,,,
1999-04-19,894,,,
1999-04-20,894,,,
1999-04-21,896,,,
1999-04-22,899,,,
1999-04-23,905,,,
1999-04-26,909,,,
1999-04-27,913,,,
1999-04-28,924,,,
1999-04-29,928,,,
1999-04-30,940,,,
1999-05-04,947,,,
1999-05-05,960,,,
1999-05-06,969,,,
1999-05-07,981,,,
1999-05-10,986,,,
1999-05-11,988,,,
1999-05-12,989,,,
1999-05-13,992,,,
1999-05-14,995,,,
1999-05-17,995,,,
1999-05-18,993,,,
1999-05-19,986,,,
1999-05-20,979,,,
1999-05-21,970,,,
1999-05-24,962,,,
1999-05-25,955,,,
1999-05-26,944,,,
1999-05-27,930,,,
1999-05-28,922,,,
1999-06-01,914,,,
1999-06-02,909,,,
1999-06-03,903,,,
1999-06-04,898,,,
1999-06-07,893,,,
1999-06-08,889,,,
1999-06-09,885,,,
1999-06-10,883,,,
1999-06-11,880,,,
1999-06-14,874,,,
1999-06-15,869,,,
1999-06-16,866,,,
1999-06-17,858,,,
1999-06-18,855,,,
1999-06-21,851,,,
1999-06-22,849,,,
1999-06-23,847,,,
1999-06-24,843,,,
1999-06-25,842,,,
1999-06-28,839,,,
1999-06-29,835,,,
1999-06-30,833,,,
1999-07-01,831,,,
1999-07-02,833,,,
1999-07-05,837,,,
1999-07-06,847,,,
1999-07-07,862,,,
1999-07-08,879,,,
1999-07-09,905,,,
1999-07-12,933,,,
1999-07-13,959,,,
1999-07-14,982,,,
1999-07-15,988,,,
1999-07-16,994,,,
1999-07-19,996,,,
1999-07-20,989,,,
1999-07-21,979,,,
1999-07-22,970,,,
1999-07-23,958,,,
1999-07-26,953,,,
1999-07-27,950,,,
1999-07-28,953,,,
1999-07-29,954,,,
1999-07-30,956,,,
1999-08-02,956,,,
1999-08-03,956,,,
1999-08-04,958,,,
1999-08-05,960,,,
1999-08-06,980,,,
1999-08-09,992,,,
1999-08-10,1006,,,
1999-08-11,1027,,,
1999-08-12,1076,,,
1999-08-13,1100,,,
1999-08-16,1112,,,
1999-08-17,1121,,,
1999-08-18,1135,,,
1999-08-19,1141,,,
1999-08-20,1143,,,
1999-08-23,1138,,,
1999-08-24,1131,,,
1999-08-25,1139,,,
1999-08-26,1152,,,
1999-08-27,1176,,,
1999-08-31,1191,,,
1999-09-01,1210,,,
1999-09-02,1229,,,
1999-09-03,1246,,,
1999-09-06,1272,,,
1999-09-07,1300,,,
1999-09-08,1336,,,
1999-09-09,1360,,,
1999-09-10,1371,,,
1999-09-13,1375,,,
1999-09-14,1377,,,
1999-09-15,1390,,,
1999-09-16,1390,,,
1999-09-17,1391,,,
1999-09-20,1392,,,
1999-09-21,1394,,,
1999-09-22,1398,,,
1999-09-23,1408,,,
1999-09-24,1410,,,
1999-09-27,1411,,,
1999-09-28,1405,,,
1999-09-29,1412,,,
1999-09-30,1426,,,
1999-10-01,1440,,,
1999-10-04,1448,,,
1999-10-05,1469,,,
1999-10-06,1508,,,
1999-10-07,1566,,,
1999-10-08,1677,,,
1999-10-11,1722,,,
1999-10-12,1753,,,
1999-10-13,1789,,,
1999-10-14,1843,,,
1999-10-15,1863,,,
1999-10-18,1885,,,
1999-10-19,1897,,,
1999-10-20,1901,,,
1999-10-21,1899,,,
1999-10-22,1883,,,
1999-10-25,1870,,,
1999-10-26,1865,,,
1999-10-27,1856,,,
1999-10-28,1837,,,
1999-10-29,1809,,,
1999-11-01,1777,,,
1999-11-02,1755,,,
1999-11-03,1739,,,
1999-11-04,1709,,,
1999-11-05,1692,,,
1999-11-08,1686,,,
1999-11-09,1683,,,
1999-11-10,1685,,,
1999-11-11,1705,,,
1999-11-12,1728,,,
1999-11-15,1739,,,
1999-11-16,1749,,,
1999-11-17,1767,,,
1999-11-18,1786,,,
1999-11-19,1805,,,
1999-11-22,1817,,,
1999-11-23,1825,,,
1999-11-24,1833,,,
1999-11-25,1844,,,
1999-11-26,1851,,,
1999-11-29,1855,,,
1999-11-30,1854,,,
1999-12-01,1847,,,
1999-12-02,1845,,,
1999-12-03,1845,,,
1999-12-06,1846,,,
1999-12-07,1852,,,
1999-12-08,1865,,,
1999-12-09,1881,,,
1999-12-10,1895,,,
1999-12-13,1896,,,
1999-12-14,1901,,,
1999-12-15,1900,,,
1999-12-16,1890,,,
1999-12-17,1877,,,
1999-12-20,1857,,,
1999-12-21,1847,,,
1999-12-22,1832,,,
1999-12-23,1824,,,
1999-12-24,1813,,,
2000-01-04,1782,,,
2000-01-05,1772,,,
2000-01-06,1776,,,
2000-01-07,1777,,,
2000-01-10,1770,,,
2000-01-11,1760,,,
2000-01-12,1748,,,
2000-01-13,1735,,,
2000-01-14,1721,,,
2000-01-17,1712,,,
2000-01-18,1708,,,
2000-01-19,1703,,,
2000-01-20,1695,,,
2000-01-21,1693,,,
2000-01-24,1693,,,
2000-01-25,1689,,,
2000-01-26,1672,,,
2000-01-27,1651,,,
2000-01-28,1635,,,
2000-01-31,1625,,,
2000-02-01,1619,,,
2000-02-02,1613,,,
2000-02-03,1608,,,
2000-02-04,1604,,,
2000-02-07,1602,,,
2000-02-08,1611,,,
2000-02-09,1653,,,
2000-02-10,1703,,,
2000-02-11,1767,,,
2000-02-14,1807,,,
2000-02-15,1855,,,
2000-02-16,1898,,,
2000-02-17,1935,,,
2000-02-18,1967,,,
2000-02-21,1992,,,
2000-02-22,2028,,,
2000-02-23,2055,,,
2000-02-24,2072,,,
2000-02-25,2090,,,
2000-02-28,2106,,,
2000-02-29,2118,,,
2000-03-01,2140,,,
2000-03-02,2154,,,
2000-03-03,2176,,,
2000-03-06,2186,,,
2000-03-07,2196,,,
2000-03-08,2208,,,
2000-03-09,2224,,,
2000-03-10,2235,,,
2000-03-13,2237,,,
2000-03-14,2241,,,
2000-03-15,2247,,,
2000-03-16,2251,,,
2000-03-17,2252,,,
2000-03-20,2248,,,
2000-03-21,2240,,,
2000-03-22,2231,,,
2000-03-23,2221,,,
2000-03-24,2207,,,
2000-03-27,2207,,,
2000-03-28,2211,,,
2000-03-29,2235,,,
2000-03-30,2258,,,
2000-03-31,2275,,,
2000-04-03,2293,,,
2000-04-04,2313,,,
2000-04-05,2329,,,
2000-04-06,2345,,,
2000-04-07,2357,,,
2000-04-10,2369,,,
2000-04-11,2369,,,
2000-04-12,2354,,,
2000-04-13,2342,,,
2000-04-14,2326,,,
2000-04-17,2315,,,
2000-04-18,2304,,,
2000-04-19,2281,,,
2000-04-20,2272,,,
2000-04-25,2258,,,
2000-04-26,2251,,,
2000-04-27,2241,,,
2000-04-28,2230,,,
2000-05-02,2218,,,
2000-05-03,2201,,,
2000-05-04,2188,,,
2000-05-05,2185,,,
2000-05-08,2177,,,
2000-05-09,2171,,,
2000-05-10,2171,,,
2000-05-11,2170,,,
2000-05-12,2167,,,
2000-05-15,2160,,,
2000-05-16,2151,,,
2000-05-17,2142,,,
2000-05-18,2134,,,
