Data frequency,Train Ratio,Number of Forecasts,Steps Ahead,Resolution,ARIMA Specification,ANN Specification,Epochs,Activation Function,ANN Differences,Exogenous Differences,Scaler,Plot,Plot All,Exogenous Variable,ARIMA RMSEs,ARIMAX RMSEs,Random Walk RMSEs,ANN RMSEs,ANNX RMSEs,Combination RMSEs,CombinationX RMSEs
monthly,0.8,30,1,50,"(1, 1, 1)","(2, 2)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,907.09,882.19,931.76,903.07
monthly,0.8,30,1,50,"(1, 1, 1)","(2, 3)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,917.19,917.26,929.25,934.61
monthly,0.8,30,1,50,"(1, 1, 1)","(2, 4)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,915.48,890.3,935.65,912.22
monthly,0.8,30,1,50,"(1, 1, 1)","(2, 5)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,874.68,906.45,912.61,926.96
monthly,0.8,30,1,50,"(1, 1, 1)","(2, 6)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,903.97,886.0,928.71,921.11
monthly,0.8,30,1,50,"(1, 1, 1)","(3, 2)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,912.12,881.2,928.52,916.02
monthly,0.8,30,1,50,"(1, 1, 1)","(3, 3)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,906.37,894.1,924.5,915.46
monthly,0.8,30,1,50,"(1, 1, 1)","(3, 4)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,895.65,906.61,920.17,930.44
monthly,0.8,30,1,50,"(1, 1, 1)","(3, 5)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,901.42,882.16,931.58,917.4
monthly,0.8,30,1,50,"(1, 1, 1)","(3, 6)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,917.43,939.15,934.49,947.7
monthly,0.8,30,1,50,"(1, 1, 1)","(4, 2)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,929.45,992.3,933.9,968.02
monthly,0.8,30,1,50,"(1, 1, 1)","(4, 3)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,922.63,868.65,935.68,903.36
monthly,0.8,30,1,50,"(1, 1, 1)","(4, 4)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,890.37,884.43,917.59,917.73
monthly,0.8,30,1,50,"(1, 1, 1)","(4, 5)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",963.13,975.0,907.17,907.71,892.73,927.04,917.46
