Data frequency,Train Ratio,Number of Forecasts,Steps Ahead,Resolution,ARIMA Specification,ANN Specification,Epochs,Activation Function,ANN Differences,Exogenous Differences,Scaler,Plot,Plot All,Exogenous Variable,ARIMA RMSEs,ARIMAX RMSEs,Random Walk RMSEs,ANN RMSEs,ANNX RMSEs,Combination RMSEs,CombinationX RMSEs
monthly,0.8,1,1,50,"(1, 1, 1)","(2, 2)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,848.47,919.47,919.49,921.4
monthly,0.8,1,1,50,"(1, 1, 1)","(2, 2)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,797.36,871.99,893.93,897.66
monthly,0.8,1,1,50,"(1, 1, 1)","(2, 3)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,872.53,956.54,931.52,939.93
monthly,0.8,1,1,50,"(1, 1, 1)","(2, 4)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,926.6,983.67,958.56,953.5
monthly,0.8,1,1,50,"(1, 1, 1)","(2, 5)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,903.83,949.65,947.17,936.49
monthly,0.8,1,1,50,"(1, 1, 1)","(2, 6)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,958.36,1050.11,974.43,986.72
monthly,0.8,1,1,50,"(1, 1, 1)","(3, 2)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,856.74,918.64,923.62,920.98
monthly,0.8,1,1,50,"(1, 1, 1)","(3, 3)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,863.42,808.19,926.96,865.76
monthly,0.8,1,1,50,"(1, 1, 1)","(3, 4)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,803.53,849.61,897.02,886.47
monthly,0.8,1,1,50,"(1, 1, 1)","(3, 5)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,895.85,903.52,943.18,913.43
monthly,0.8,1,1,50,"(1, 1, 1)","(3, 6)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,973.65,802.09,982.08,862.71
monthly,0.8,1,1,50,"(1, 1, 1)","(4, 2)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,867.11,858.29,928.81,890.81
monthly,0.8,1,1,50,"(1, 1, 1)","(4, 3)",20,sigmoid,True,True,robust,False,False,"['IRON_CLOSE', 'COAL_CLOSE']",990.51,923.33,769.0,812.3,542.53,901.4,732.93
